iter	Passed	Remaining
0	3	309
1	5	276
2	8	259
3	9	235
4	11	225
5	13	214
6	15	207
7	17	201
8	19	197
9	21	193
10	23	191
11	26	192
12	28	189
13	30	184
14	31	179
15	33	176
16	35	174
17	37	171
18	39	169
19	41	166
20	43	163
21	45	159
22	46	156
23	48	153
24	50	151
25	52	149
26	55	149
27	57	147
28	59	145
29	61	143
30	63	141
31	65	140
32	68	138
33	69	135
34	71	133
35	73	131
36	75	128
37	76	125
38	78	123
39	80	120
40	82	118
41	83	114
42	84	112
43	86	110
44	88	107
45	90	105
46	91	103
47	93	101
48	95	99
49	96	96
50	98	95
51	100	92
52	102	90
53	104	88
54	105	86
55	107	84
56	109	82
57	110	80
58	112	78
59	114	76
60	116	74
61	118	72
62	119	70
63	121	68
64	124	66
65	126	65
66	127	63
67	130	61
68	132	59
69	133	57
70	135	55
71	136	53
72	138	51
73	139	49
74	141	47
75	143	45
76	144	43
77	145	41
78	147	39
79	149	37
80	150	35
81	152	33
82	154	31
83	155	29
84	157	27
85	158	25
86	160	23
87	161	22
88	162	20
89	164	18
90	165	16
91	166	14
92	167	12
93	168	10
94	170	8
95	171	7
96	172	5
97	173	3
98	175	1
99	176	0
